ZIPCode,StateName,
50105,Iowa,
54001,Wisconsin,
54002,Wisconsin,
54003,Wisconsin,
54004,Wisconsin,
54005,Wisconsin,
54006,Wisconsin,
54007,Wisconsin,
54009,Wisconsin,
54011,Wisconsin,
54013,Wisconsin,
54014,Wisconsin,
54015,Wisconsin,
54016,Wisconsin,
54017,Wisconsin,
54020,Wisconsin,
54021,Wisconsin,
54022,Wisconsin,
54023,Wisconsin,
54024,Wisconsin,
54025,Wisconsin,
54026,Wisconsin,
54027,Wisconsin,
54028,Wisconsin,
54082,Wisconsin,
54433,Wisconsin,
54437,Wisconsin,
54447,Wisconsin,
54456,Wisconsin,
54460,Wisconsin,
54493,Wisconsin,
54498,Wisconsin,
54526,Wisconsin,
54530,Wisconsin,
54563,Wisconsin,
54601,Wisconsin,
54602,Wisconsin,
54603,Wisconsin,
54610,Wisconsin,
54611,Wisconsin,
54612,Wisconsin,
54614,Wisconsin,
54615,Wisconsin,
54616,Wisconsin,
54620,Wisconsin,
54622,Wisconsin,
54623,Wisconsin,
54625,Wisconsin,
54627,Wisconsin,
54629,Wisconsin,
54630,Wisconsin,
54635,Wisconsin,
54636,Wisconsin,
54642,Wisconsin,
54644,Wisconsin,
54650,Wisconsin,
54658,Wisconsin,
54659,Wisconsin,
54661,Wisconsin,
54669,Wisconsin,
54701,Wisconsin,
54702,Wisconsin,
54703,Wisconsin,
54720,Wisconsin,
54721,Wisconsin,
54722,Wisconsin,
54723,Wisconsin,
54724,Wisconsin,
54725,Wisconsin,
54726,Wisconsin,
54727,Wisconsin,
54728,Wisconsin,
54729,Wisconsin,
54730,Wisconsin,
54731,Wisconsin,
54732,Wisconsin,
54733,Wisconsin,
54734,Wisconsin,
54735,Wisconsin,
54736,Wisconsin,
54737,Wisconsin,
54738,Wisconsin,
54739,Wisconsin,
54740,Wisconsin,
54741,Wisconsin,
54742,Wisconsin,
54743,Wisconsin,
54745,Wisconsin,
54746,Wisconsin,
54747,Wisconsin,
54748,Wisconsin,
54749,Wisconsin,
54750,Wisconsin,
54751,Wisconsin,
54754,Wisconsin,
54755,Wisconsin,
54756,Wisconsin,
54757,Wisconsin,
54758,Wisconsin,
54759,Wisconsin,
54760,Wisconsin,
54761,Wisconsin,
54762,Wisconsin,
54763,Wisconsin,
54764,Wisconsin,
54765,Wisconsin,
54766,Wisconsin,
54767,Wisconsin,
54768,Wisconsin,
54769,Wisconsin,
54770,Wisconsin,
54771,Wisconsin,
54772,Wisconsin,
54773,Wisconsin,
54774,Wisconsin,
54801,Wisconsin,
54805,Wisconsin,
54810,Wisconsin,
54812,Wisconsin,
54813,Wisconsin,
54817,Wisconsin,
54819,Wisconsin,
54822,Wisconsin,
54824,Wisconsin,
54826,Wisconsin,
54828,Wisconsin,
54829,Wisconsin,
54830,Wisconsin,
54835,Wisconsin,
54836,Wisconsin,
54837,Wisconsin,
54838,Wisconsin,
54840,Wisconsin,
